ID,FC name,FC parent,FC ontology,ADAN name,ADAN parent,Confidence,Note
84,Lumbar branch of iliolumbar artery,Iliolumbar artery,ILX:0743592,iliolumbar lumbar branch,iliolumbar,1.0000001192092896,align
85,Spinal branch of iliolumbar artery,Iliolumbar artery,ILX:0748730,iliolumbar spinal branch,iliolumbar,0.9908943176269531,align
86,Iliacus branch of iliolumbar artery,Iliolumbar artery,ILX:0744226,iliolumbar iliac branch,iliolumbar,0.9905853271484375,align
87,Superior gluteal artery,Posterior division of iliac artery,UBERON:0001315,superior gluteal,internal iliac,0.9386925101280212,
87,,,,iliolumbar,superior gluteal,0.9328945279121399,
87,,,,superior gluteal,superior gluteal,0.9021304845809937,
87,,,,inferior gluteal,internal iliac,0.8991470336914062,
87,,,,perforator,superior gluteal,0.894511342048645,
88,Anterior division of iliac artery,Internal iliac artery,FMA:69797,internal iliac,internal iliac,0.9728531241416931,
88,,,,internal iliac,common iliac,0.957625150680542,
88,,,,internal pudendal,internal iliac,0.9413098096847534,
88,,,,obturator,internal iliac,0.9334803819656372,
88,,,,superior gluteal,internal iliac,0.9325004816055298,
89,Inferior gluteal artery,Anterior division of iliac artery,ILX:0742448,inferior gluteal,internal iliac,0.9683598279953003,
89,,,,superior gluteal,internal iliac,0.947913408279419,
89,,,,inferior gluteal,inferior gluteal,0.9304866790771484,
89,,,,iliolumbar,superior gluteal,0.9161688089370728,
89,,,,inferior vesical,internal iliac,0.9114177823066711,
90,Internal pudendal artery,Anterior division of iliac artery,UBERON:0007315,internal pudendal,internal iliac,0.9691950082778931,
90,,,,internal pudendal,internal pudendal,0.9400062561035156,
90,,,,obturator,internal iliac,0.9325327277183533,
90,,,,internal iliac,internal iliac,0.9250961542129517,
90,,,,perineal,internal pudendal,0.9243971109390259,
91,Dorsal artery of penis,Internal pudendal artery,UBERON:0001340,artery of penis,internal pudendal,0.9553403854370117,
91,,,,perineal,internal pudendal,0.9118546843528748,
91,,,,dorsal artery of penis,artery of penis,0.9108662009239197,
91,,,,internal pudendal,internal pudendal,0.9061315059661865,
91,,,,internal pudendal,internal iliac,0.8804761171340942,
92,Deep artery of penis,Internal pudendal artery,UBERON:0008321,artery of penis,internal pudendal,0.9580005407333374,
92,,,,internal pudendal,internal pudendal,0.9120327830314636,
92,,,,deep artery of penis,artery of penis,0.9119070768356323,
92,,,,perineal,internal pudendal,0.9026772975921631,
92,,,,internal pudendal,internal iliac,0.8909045457839966,
93,Obturator artery,Anterior division of iliac artery,UBERON:0001314,obturator,internal iliac,0.9677358865737915,
93,,,,obturator,obturator anterior branch,0.960932731628418,
93,,,,obturator acetabular branch,obturator,0.9394807815551758,
93,,,,obturator,obturator,0.9326449632644653,
93,,,,obturator,obturator pubic branch,0.9242708086967468,
94,Right subclavian artery ,branchiocephalic trunk,UBERON:0001534,costocervical trunk,subclavian,0.9177817106246948,
94,,,,thyrocervical trunk,subclavian,0.9174500107765198,
94,,,,perforator,circumflex scapular,0.9162022471427917,
94,,,,perforator,thoracoacromial acromial branch,0.9140947461128235,
94,,,,internal thoracic,subclavian,0.9130545854568481,
95,Vertebral artery,Right subclavian artery ,UBERON:0001535,vertebral,subclavian,0.9712367057800293,
95,,,,costocervical trunk,subclavian,0.934606671333313,
95,,,,anterior segmental medullary,vertebral,0.9288737773895264,
95,,,,internal thoracic,subclavian,0.9282523989677429,
95,,,,thyrocervical trunk,subclavian,0.9250702857971191,
96,Posterior inferior cerebellar artery,Vertebral artery,UBERON:0009688,posterior inferior cerebellar,vertebral,1.000000238418579,align
97,Basilar artery,Vertebral artery,UBERON:0001633,anterior inferior cerebellar,basilar,0.9446415305137634,
97,,,,vertebral,vertebral,0.9443041682243347,
97,,,,basilar,basilar,0.9419022798538208,
97,,,,vertebral,subclavian,0.9355148077011108,
97,,,,superior cerebellar,basilar,0.9322419762611389,
98,Anterior inferior cerebellar artery,Basilar artery,UBERON:0009689,anterior inferior cerebellar,basilar,1.0,align
99,Lateral pontine branches of basilar artery,Basilar artery,nan,basilar,basilar,0.9595916271209717,
99,,,,pontine artery 2,basilar,0.9311677813529968,
99,,,,pontine artery 3,basilar,0.9241026639938354,
99,,,,pontine artery 4,basilar,0.9166984558105469,
99,,,,anterior inferior cerebellar,basilar,0.91376793384552,
100,Medial pontine branches of basilar artery,Basilar artery,nan,basilar,basilar,0.9501516819000244,
100,,,,pontine artery 3,basilar,0.9405072331428528,
100,,,,pontine artery 1,basilar,0.9199021458625793,
100,,,,pontine artery 4,basilar,0.9147793054580688,
100,,,,superior cerebellar,basilar,0.9100955724716187,
101,Posterior cerebral artery,Basilar artery,UBERON:0001636,superior cerebellar,basilar,0.943497896194458,
101,,,,anterior inferior cerebellar,basilar,0.9420623779296875,
101,,,,basilar,basilar,0.9388004541397095,
101,,,,posterior communicating,internal carotid,0.9315691590309143,
101,,,,posterior communicating,posterior communicating,0.9209248423576355,
